Day Ct,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Size,Brand,Material,Material Type,Method,Hand,Spec Ang,Spec Ht,Opening Distance,wd_rel.0,wd_rel.20,wd_rel.40,wd_rel.60,wd_rel.80,wd_rel.120,wd_rel.160,wd_rel.200,ht_rel.0,ht_rel.20,ht_rel.40,ht_rel.60,ht_rel.80,ht_rel.120,ht_rel.160,ht_rel.200
2,21,50,1,Green,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.5,0.0,0.0,0.030100334448160515,0.07023411371237454,0.12040133779264217,0.20735785953177255,0.2876254180602007,0.36454849498327757,0.0,0.03910614525139666,0.13128491620111726,0.1955307262569832,0.25418994413407825,0.3268156424581006,0.3938547486033519,0.44692737430167595
4,26,55,1,Green,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.7,0.0,0.030303030303030276,0.08417508417508412,0.07407407407407407,0.14141414141414144,0.13804713804713808,0.14141414141414144,0.20538720538720534,0.0,0.11557788944723613,0.09045226130653261,0.128140703517588,0.20100502512562812,0.27386934673366836,0.31658291457286436,0.37688442211055273
4,26,64,2,Green,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.4,0.0,0.0,0.017241379310344862,0.04597701149425293,0.11494252873563215,0.16091954022988508,0.22413793103448276,0.2931034482758621,0.0,-0.11801242236024834,-0.07453416149068315,-0.037267080745341685,0.06832298136645965,0.12422360248447206,0.22360248447204967,0.2919254658385093
4,26,74,3,Green,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.2,0.0,0.019736842105263164,0.052631578947368474,0.07894736842105265,0.13815789473684215,0.1842105263157895,0.25,0.3092105263157895,0.0,0.3294117647058824,0.4411764705882353,0.49411764705882355,0.5235294117647059,0.5529411764705883,0.5764705882352941,0.5882352941176471
4,27,56,1,Green,L,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.4,0.0,0.05789473684210522,0.1105263157894737,0.021052631578947323,0.05789473684210522,0.17368421052631577,0.2315789473684211,0.368421052631579,0.0,0.1295336787564767,0.12435233160621761,0.23834196891191706,0.2849740932642487,0.3886010362694301,0.44041450777202074,0.4766839378238342
4,27,65,2,Green,L,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.25,0.0,0.03053435114503822,0.05343511450381677,0.09160305343511455,0.12213740458015265,0.1984732824427481,0.2595419847328244,0.7022900763358779,0.0,0.012987012987012991,0.025974025974025983,0.0357142857142857,0.06818181818181823,0.1071428571428571,0.16233766233766234,0.9642857142857143
4,27,75,3,Green,L,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.05,0.0,0.01098901098901095,0.04761904761904767,0.07692307692307687,0.1135531135531136,0.19047619047619047,0.26007326007326004,0.32600732600732596,0.0,-0.0029850746268655914,0.005970149253731294,0.05074626865671639,0.10746268656716418,0.17313432835820897,0.20298507462686566,0.24776119402985075
4,28,57,1,Green,7,SensiCare PI,Polyisoprene,Glove,Middle,R,5,0,3.3,0.0,0.0490196078431373,0.0980392156862745,0.13398692810457513,0.15032679738562094,0.196078431372549,0.2450980392156863,0.31699346405228757,0.0,0.03436426116838487,0.18213058419243988,0.29209621993127144,0.39518900343642616,0.5463917525773196,0.6563573883161512,0.731958762886598
4,28,66,2,Green,7,SensiCare PI,Polyisoprene,Glove,Middle,L,5,0,2.85,0.0,0.02083333333333337,0.059523809523809534,0.09226190476190477,0.12797619047619047,0.1696428571428571,0.21726190476190477,0.26488095238095233,0.0,0.003289473684210509,0.11513157894736847,0.14144736842105265,0.19736842105263153,0.2532894736842105,0.3125,0.32894736842105265
4,28,76,3,Green,7,SensiCare PI,Polyisoprene,Glove,Middle,R,5,0,2.6,0.0,0.0,0.05128205128205132,0.07692307692307687,0.10256410256410253,0.16025641025641024,0.22435897435897434,0.9935897435897436,0.0,0.04347826086956519,0.021739130434782594,0.0,0.03260869565217395,0.05434782608695654,0.1467391304347826,0.2065217391304348
