,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes,url,Label ID,wd,ht,wd_start,ht_start,wd_rel,ht_rel
42,1,46,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,1,0,20220423_151207.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F411abf79-8c89-46d1-3be3-4d95568d6d8b-20220423_151207.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=yMNybsRrs3d3YAjUcfMOUqhFN0M,cl2clf9v560ch0zdf4a8z3tty,265.0,265.0,894.0,2264.0,0.0,0.0
43,1,47,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,2,40,20220423_151214.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fb72051cf-7493-9cfa-2097-39e873d8c0b6-20220423_151214.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=2wpBcbouRK3GFIO79wWR8KJkGFE,cl2clgndv5yfj0zcaaigk4dg2,164.0,254.0,951.0,2260.0,0.38113207547169814,0.04150943396226414
44,1,48,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,3,80,20220423_151219.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fc44e61a2-ef69-5a90-a289-b5303bddbaf9-20220423_151219.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=sFZw6NHlIzLXq_uTki6pkrkMz_Q,cl2clkmoa4wjz0zbxd6ge2i1e,105.0,230.0,979.0,2258.0,0.6037735849056604,0.13207547169811318
45,1,49,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,4,120,20220423_151223.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F851a797d-1f41-306a-e162-8356d80436f3-20220423_151223.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=6X5uZbfCbTbyCjnFnM1N1g_zLnY,cl2clkmud60150zah249z78tq,70.0,207.0,995.0,2259.0,0.7358490566037736,0.21886792452830184
46,1,50,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,5,160,20220423_151228.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F6a9bdd25-9906-52f4-622e-8cbd1616f286-20220423_151228.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=SwL4obqYzt13wyAns8a4h6GImb8,cl2clky3a60t30zambxge5uum,47.0,190.0,1005.0,2256.0,0.8226415094339623,0.28301886792452835
47,1,51,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,6,200,20220423_151236.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fac393718-2af2-d751-c3a4-8eb0b8b22a34-20220423_151236.jpg?Expires=1662175964332&KeyName=labelbox-assets-key-3&Signature=16YetJ2iwdYYZGDv5bb-kqXGXo8,cl2cllenx5yjq0zcahk1jabvp,32.0,167.0,1012.0,2260.0,0.879245283018868,0.369811320754717
48,1,52,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,1,0,20220423_152357.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F187e3bf4-edf5-583e-0fef-eebfc7230e4d-20220423_152357.jpg?Expires=1662175964332&KeyName=labelbox-assets-key-3&Signature=JAMxLk-VFuQD54aqDKkAH--UJBg,cl2clm18m4wl00zbx6di5a31i,234.0,312.0,914.0,2260.0,0.0,0.0
49,1,53,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,2,40,20220423_152405.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Ff63b9072-bdec-83a4-7f50-a84e0597830a-20220423_152405.jpg?Expires=1662175964332&KeyName=labelbox-assets-key-3&Signature=ZgefA1aitJChsnL1IzC1iqRuH-w,cl2clmu2m60hz0zdfa56tcl2g,123.0,306.0,954.0,2267.0,0.47435897435897434,0.019230769230769273
50,1,54,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,3,80,20220423_152410.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fd85def89-bbe1-8a19-5158-428157e3e87f-20220423_152410.jpg?Expires=1662175964332&KeyName=labelbox-assets-key-3&Signature=hz3j8X3P1s8ScPPyBhE3CJz0NFE,cl2clntwv60ux0zamdotq8kn4,68.0,291.0,980.0,2266.0,0.7094017094017093,0.06730769230769229
51,1,55,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,4,120,20220423_152427.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F4191393f-5a94-e653-710d-06cba2f47d8b-20220423_152427.jpg?Expires=1662175964332&KeyName=labelbox-assets-key-3&Signature=XUVqaWrzVZkMv1YXe78XjeaXCek,cl2clo6on60iu0zdf83qcccg9,34.0,270.0,995.0,2267.0,0.8547008547008547,0.13461538461538458
52,1,56,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,5,160,20220423_152432.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fabe27fc4-4663-9f21-77b1-3d22aa869c6e-20220423_152432.jpg?Expires=1662175964332&KeyName=labelbox-assets-key-3&Signature=fm8e43kbCDnVuMihmztlxrJ9bj8,cl2clopwm64v110cd7ogw464w,16.0,253.0,1003.0,2268.0,0.9316239316239316,0.1891025641025641
